query_pattern,output_pattern,similarity
GRCCDCDE,CRCRCRDCDECREF,0.65555556
GRCCDCDE,ERAAARG,0.31746032
CREEERFRERFRGRRFE,RRRBCDCBAGABCR,0.22619048
CRRRB-AGRFEFG,DRFEDCBAGRC,0.37433862
CRRRB-AGRFEFG,GRDDRFEDCBAG,0.21031746
ERFRERFRGRRFE,RRRBCDCBAGABCR,0.55555556
DRAGFEDCBAGR,DRFEDCBAGRC,0.37868481
DRAGFEDCBAGR,GRDDRFEDCBAG,0.23809524
RREEERFRERFRGRRFE,RRRBCDCBAGABCR,0.26077098
CRCRCDCDECRC,CRCRCRDCDECREF,0.81405896
CRCRCDCDECRC,ERDRDEDRCRARG,0.23148148
RREEERFRERFR,CRCRCRDCDECREF,0.23412698
