query_pattern,output_pattern,similarity
DEFFDE,CDEFFDEC,0.62946429
DEFFDE,CDEFFD,0.40625000
DEFFDE,BCDEFFDE,0.40178571
BCDEFFDE,BCDEFFD,0.85000000
BCDEFFDE,GBCDEFFDEC,0.69940476
BCDEFFDE,CDEFFD,0.60714286
BCDEFFDE,CDEFFDEC,0.55357143
BCDEFFDE,GBCDEFFD,0.55059524
BCDEFFDE,GBCDEFF,0.49285714
BCDEFFDE,DEFFDEC,0.32142857
BCDEFFD,GBCDEFFD,0.66071429
BCDEFFD,CDEFFDEC,0.48571429
CDEFFD,GBCDEFFD,0.37053571
DEFFDEC,CDEFFDEC,0.68928571
DEFFDEC,GBCDEFFDEC,0.31785714
CDEFFDECD,CDEFFDEC,0.86011905
CDEFFDECD,GBCDEFFDEC,0.47193878
CDEFFDECD,GBCDEFFD,0.24702381
GBCDEFFDEC,GBCDEFFD,0.86607143
